"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"178","DF0000193_5_HERVK14C",0.00134501452630512,0.00392232539117086,15.6382503587884,41.0752305430625,3,2.32457380302959,2.05376152715312,0.0861619581309497,1.96759956902218,0.460091420707633,1.96759956902218
"179","DF0000748_4_MER33",0.001348812637692,0.00392232539117086,15.6322695695214,11.9397095561624,3,2.47619910525171,0.596985477808118,0.271729676270832,0.325255801537286,0.419391543238429,0.419391543238429
"180","DF0000772_5_LSU-rRNA_Hsa",0.00135512201614348,0.00392232539117086,15.6223712065476,62.8104626220091,3,11.7978574299217,3.14052313110045,1.54530718548787e-05,3.1405076780286,1.13703720336898,3.1405076780286
"181","DF0000058_4_AluYc3",0.00139599124982384,0.0040182952550178,15.5593412129866,1.91380850583391,3,5.96493698566082,0.0956904252916954,0.00530497239097208,0.0903854529007233,0.133120135490397,0.133120135490397
"182","DF0000915_4_MER6A",0.00144200456872591,0.00412793615552857,15.4905334711125,9.05935032265111,3,3.0654734723537,0.452967516132556,0.203559456562942,0.249408059569613,0.299241053747316,0.299241053747316
"183","DF0000052_4_AluSz6",0.00146225800195348,0.00416304054108067,15.4609347811673,1.6347632907035,3,8.41440535884818,0.0817381645351749,0.000330124880648442,0.0814080396545265,0.205058659092896,0.205058659092896
"184","DF0000054_4_AluYa8",0.00149361039883895,0.00422919031410377,15.415908923356,0.636771289067715,3,6.70699126835323,0.0318385644533857,0.00179619179689268,0.0300423726564931,0.142179140413831,0.142179140413831
"185","DF0000618_4_LTR9",0.00157620399447923,0.00441506602754666,15.301641469981,6.62633240240355,3,2.70401176856933,0.331316620120177,0.0816590050593708,0.249657615060807,0.366118736990353,0.366118736990353
"186","DF0000847_4_Tigger5",0.00157193427925106,0.00441506602754666,15.3074013499923,11.2232139595608,3,3.34729527319241,0.56116069797804,0.0804586593901028,0.480702038587937,0.260817204376846,0.480702038587937
"187","DF0001154_2_AluYm1",0.00162976983578825,0.00454069563874695,15.2306678920307,2.20924108100221,3,8.24353903700002,0.11046205405011,0.000930630998338485,0.109531423051772,0.194144759009213,0.194144759009213
"188","DF0000317_4_L1P2_5end",0.00165067909770396,0.00455571772372919,15.203589868436,2.4211069954786,3,7.18322233997836,0.12105534977393,0.000948375236382356,0.120106974537548,0.151049890527858,0.151049890527858
"189","DF0001031_4_MLT2B3",0.00165264999958698,0.00455571772372919,15.2010550764572,5.1564161810307,3,3.04883254765994,0.257820809051535,0.0703124923519602,0.187508316699575,0.301919023496378,0.301919023496378
"190","DF0000043_4_AluSq",0.00169199374518434,0.00463962495390022,15.1510727225612,1.45105936281227,3,8.99508656770503,0.0725529681406135,0.0012060373348095,0.0713469308058042,0.253675189779149,0.253675189779149
"191","DF0000819_4_THE1C",0.001719562317063,0.00469053385963257,15.1167320120387,0.896939378345118,3,5.95583849486035,0.0448469689172557,0.00429911567928426,0.0405478532379716,0.132969716684783,0.132969716684783
"192","DF0000831_4_Tigger17a",0.00175291096657272,0.00474404785643442,15.0759140809991,22.462187165149,3,2.11899426446328,1.12310935825745,0.334664924794896,0.788444433462553,0.523160163534713,0.788444433462553
"193","DF0000856_4_MER52A",0.00176649766631147,0.00474404785643442,15.0595047539749,24.6031383773004,3,2.96524184492654,1.23015691886502,0.0532543881714999,1.17690253069352,0.315910881028157,1.17690253069352
"194","DF0001081_4_U7",0.00176264087646491,0.00474404785643442,15.0641500270947,21.7207808813084,3,1.66181754953962,1.08603904406542,0.191572161338635,0.894466882726785,0.709193819099445,0.894466882726785
"195","DF0000855_4_MER52-int",0.00178009832133929,0.00475605756624498,15.043203502142,13.632245732453,3,2.06380122462922,0.68161228662265,0.246789436031677,0.434822850590973,0.541931836117648,0.541931836117648
"196","DF0000268_4_L1MB2_3end",0.0018703727162929,0.00494651870654111,14.9380379494521,0.978076499002399,3,5.57810285631593,0.0489038249501201,0.00520072355506789,0.0437031013950521,0.128025730902269,0.128025730902269
"197","DF0000359_4_L2a_3end",0.0018635146876413,0.00494651870654111,14.9458485999774,10.1010893690322,3,6.38126857337753,0.505054468451607,0.00229786446671597,0.502756603984892,0.139002205778728,0.502756603984892
"198","DF0000529_5_LTR46-int",0.00199635015381559,0.0052004921506896,14.7994030158387,2.57491580134576,3,4.09881966389991,0.128745790067288,0.0192144918621762,0.109531298205112,0.189309605995732,0.189309605995732
"199","DF0000816_5_MER51-int",0.00199004526618756,0.0052004921506896,14.8061324076206,4.10352209781518,3,4.35477258982094,0.205176104890759,0.0198248795820758,0.185351225308683,0.166049277347222,0.185351225308683
"200","DF0001050_4_PABL_B",0.0019827236737183,0.0052004921506896,14.8139735453589,6.9755752341963,3,2.22702934746543,0.348778761709815,0.141872979378174,0.206905782331641,0.488761434650472,0.488761434650472
"201","DF0000010_4_L1MC4_3end",0.00203675997489319,0.00527936291999677,14.7567665645638,6.54285510930531,3,3.62725037129197,0.327142755465265,0.0882566497106322,0.238886105754633,0.233513484554597,0.238886105754633
